Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
183404,Rift Valley fever,,14.826792,-17.245701,Sangalkhame,Senegal,Africa,2013-10-10T00:00:00Z,2014-03-14T00:00:00Z,"Domestic,Cattle,",WOAH (former OIE),,,Confirmed
160877,Rift Valley fever,,14.5411,-17.01807,Daka Niaye,Senegal,Africa,2003-10-01T00:00:00Z,2003-10-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
236218,Rift Valley fever,,13.77,-15.87,Keur Oumar,Senegal,Africa,2018-03-28T00:00:00Z,2018-04-16T00:00:00Z,"Domestic,Sheep,",FAO Field Officer,,,Denied
199995,Rift Valley fever,,12.46388,-12.46833,"Baya Village, KedougouTambacounda, Senegal",Senegal,Africa,2012-10-16T00:00:00Z,2012-10-16T00:00:00Z,,Publications,,,Confirmed
160857,Rift Valley fever,,12.9723,-13.9769,Kounkané,Senegal,Africa,2001-06-01T00:00:00Z,2001-06-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160854,Rift Valley fever,,13.77556,-13.66993,Kidira,Senegal,Africa,2001-07-01T00:00:00Z,2001-07-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160855,Rift Valley fever,,13.77556,-13.66993,Kidira,Senegal,Africa,2001-08-01T00:00:00Z,2001-08-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160896,Rift Valley fever,,14.46,-12.21,Kidira,Senegal,Africa,2005-09-01T00:00:00Z,2005-09-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160850,Rift Valley fever,,14.46,-12.21,Kidira,Senegal,Africa,2000-05-01T00:00:00Z,2000-05-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160882,Rift Valley fever,,13.77556,-13.66993,Kidira,Senegal,Africa,2003-10-01T00:00:00Z,2003-10-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160856,Rift Valley fever,,13.77556,-13.66993,Kidira,Senegal,Africa,2001-09-01T00:00:00Z,2001-09-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
160871,Rift Valley fever,,13.77556,-13.66993,Kidira,Senegal,Africa,2002-10-01T00:00:00Z,2002-10-01T00:00:00Z,"Domestic,Goat/sheep ,",FAO-Report,,,Confirmed
