study_id,reservoir_id,reservoir_id_new,year,month,season,genus,species,common_name,sample_size,country,location_name,full_location_name,topography,ecoregion,gps_latitude,gps_longitude
108,159,res_159,1989,February_to_may,Dry,,,Sheep,371,Senegal,yonofere,"Yonofere, Senegal",,Sahelian_acacia_savanna,15.26340278,-14.45238871
112,160,res_160,2021,April_to_may,Dry,,,Sheep,125,Gambia,abuko,"Abuko, Gambia",,Guinean_mangroves,13.39943559,-16.65436282
112,161,res_161,2021,April_to_may,Dry,,,Goat,51,Gambia,abuko,"Abuko, Gambia",,Guinean_mangroves,13.39943559,-16.65436282
112,162,res_162,2021,April_to_may,Dry,,,Sheep,34,Gambia,basse,"Basse, Gambia",,West_sudanian_savanna,13.30938791,-14.21879286
112,163,res_163,2021,April_to_may,Dry,,,Goat,79,Gambia,basse,"Basse, Gambia",,West_sudanian_savanna,13.30938791,-14.21879286
112,164,res_164,2021,April_to_may,Dry,,,Sheep,34,Gambia,brikama,"Brikama, Gambia",,Guinean_mangroves,13.27480186,-16.64075122
112,165,res_165,2021,April_to_may,Dry,,,Goat,91,Gambia,brikama,"Brikama, Gambia",,Guinean_mangroves,13.27480186,-16.64075122
112,166,res_166,2021,April_to_may,Dry,,,Sheep,53,Gambia,brikamaba,"Brikamaba, Gambia",,West_sudanian_savanna,13.5364385,-14.93122785
112,167,res_167,2021,April_to_may,Dry,,,Goat,38,Gambia,brikamaba,"Brikamaba, Gambia",,West_sudanian_savanna,13.5364385,-14.93122785
112,168,res_168,2021,April_to_may,Dry,,,Sheep,21,Gambia,farafenni,"Farafenni, Gambia",,West_sudanian_savanna,13.57217219,-15.59982548
112,169,res_169,2021,April_to_may,Dry,,,Goat,56,Gambia,farafenni,"Farafenni, Gambia",,West_sudanian_savanna,13.57217219,-15.59982548
112,170,res_170,2021,April_to_may,Dry,,,Sheep,129,Gambia,keneba,"Keneba, Gambia",,Guinean_forest_savanna_mosaic,13.33164051,-16.00955043
112,171,res_171,2021,April_to_may,Dry,,,Goat,152,Gambia,keneba,"Keneba, Gambia",,Guinean_forest_savanna_mosaic,13.33164051,-16.00955043
112,172,res_172,2021,April_to_may,Dry,,,Sheep,11,Gambia,soma,"Soma, Gambia",,West_sudanian_savanna,13.44421532,-15.53882803
112,173,res_173,2021,April_to_may,Dry,,,Goat,45,Gambia,soma,"Soma, Gambia",,West_sudanian_savanna,13.44421532,-15.53882803
112,174,res_174,2021,April_to_may,Dry,,,Sheep,63,Gambia,sololo,"Sololo, Gambia",,West_sudanian_savanna,13.45166851,-14.6791525
112,175,res_175,2021,April_to_may,Dry,,,Goat,32,Gambia,sololo,"Sololo, Gambia",,West_sudanian_savanna,13.45166851,-14.6791525
112,176,res_176,2021,April_to_may,Dry,,,Cattle,30,Gambia,bajana,"Bajana, Gambia",,Guinean_forest_savanna_mosaic,13.31266128,-15.88516
112,177,res_177,2021,April_to_may,Dry,,,Cattle,40,Gambia,bateling,"Bateling, Gambia",,West_sudanian_savanna,13.40868358,-15.84273318
112,178,res_178,2021,April_to_may,Dry,,,Cattle,65,Gambia,dumbuto,"Dumbuto, Gambia",,Guinean_forest_savanna_mosaic,13.3493711,-15.83246456
112,179,res_179,2021,April_to_may,Dry,,,Cattle,30,Gambia,jali,"Jali, Gambia",,Guinean_forest_savanna_mosaic,13.3517479,-15.96771388
